ID|JOKE
58|Why do scuba divers fall backwards into the water? Because if they fell forwards theyd still be in the boat.
59|Hold on, I have something in my shoe  Im pretty sure its a foot
60|I asked my dad for his best dad joke and he said, You.
61|The rotation of earth really makes my day.
62|What concert costs just 45 cents? 50 Cent featuring Nickelback!
63|Why did the old man fall in the well? Because he couldnt see that well!
64|The difference between a numerator and a denominator is a short line. Only a fraction of people will understand this!
65|Why is Peter Pan always flying? He neverlands!
66|Can I watch the TV? Dad: Yes, but dont turn it on.
67|I would avoid the sushi if I was you. Its a little fishy.
68|Want to hear a joke about paper? Nevermind its tearable.
69|Ill call you later!- Please dont do that. Ive always asked you to call me Dad!
70|How does a penguin build its house? Igloos it together.
71|How can you tell if a ant is a boy or a girl? Theyre all girls, otherwise theyd be uncles.
72|I dont play soccer because I enjoy the sport. Im just doing it for kicks.
73|Did I tell you the time I fell in love during a backflip? I was heels over head.
74|What did one snowman say to the other one?  Do you smell carrots?
75|If your nose runs and your feet smell, you are built upside down!
76|What did the ocean say to the shore? Nothing, it just waved.
77|What do you call a man with no arms and no legs lying in front of your door? Matt.
78|Without geometry life is pointless.
79|Last night me and my girlfriend watched three DVDs back to back. Luckily I was the one facing the TV.
80|Q: What did daddy spider say to baby spider? A: You spend too much time on the web.
81|Just watched a documentary about beavers… It was the best damn program Ive ever seen.
82|Atheism is a non-prophet organization.
83|Slept like a log last night … woke up in the fireplace.
84|I went to the zoo the other day, there was only one dog in it. It was a shihtzu.
85|Why did the scarecrow win an award? Because he was outstanding in his field.
86|Why does a chicken coop only have two doors? Because if it had four doors it would be a chicken sedan.
87|Whats the difference between an African elephant and an Indian elephant? About 5000 miles
88|Where does batman go to the bathroom? The batroom.
89|What do you call a sheep with no legs? A cloud.
90|Wheres the bin? Dad: I havent been anywhere!
91|I dont trust stairs. Theyre always up to something.
92|Why did the coffee file a police report? It got mugged.
93|I wouldnt buy anything with velcro. Its a total rip-off.
94|The shovel was a ground-breaking invention.
95|Ive never gone to a gun range before. I decided to give it a shot!
96|What did the grape do when he got stepped on? He let out a little wine.
97|Dad, did you get a haircut? No I got them all cut.
98|You know, people say they pick their nose, but I feel like I was just born with mine.
99|How many apples grow on a tree? All of them.
100|I heard there was a new store called Moderation. They have everything there.
101|A steak pun is a rare medium well done.
102|I used to work in a shoe recycling shop. It was sole destroying.
103|What kind of shoes does a thief wear? Sneakers
104|A jumper cable walks into a bar. The bartender says, Ill serve you, but dont start anything.
105|An invisible man marries an invisible woman. The kids were nothing to look at either.
106|Whats ET short for? Because hes only got little legs.
107|What do you call an Argentinian with a rubber toe? Roberto
108|I cut my finger chopping cheese, but I think that I may have greater problems.
109|A red and a blue ship have just collided in the Caribbean. Apparently the survivors are marooned.
110|Ive deleted the phone numbers of all the Germans I know from my mobile phone. Now its Hans free.
111|How much does a hipster weigh? An instagram.
112|What do you call a group of killer whales playing instruments? An Orca-stra.
113|How do you make holy water? You boil the hell out of it.
114|What did the daddy tomato say to the baby tomato? A: catch up!
115|Why dont seagulls fly over the bay? Because then theyd be bay-gulls!
116|Two peanuts were walking down the street. One was a salted.
117|What do you do when a blonde throws a grenade at you? Pull the pin and throw it back.
118|A man walks into a bar and orders helicopter flavor chips. The barman replies sorry mate we only do plain
119|Dad Im hungry … Hi hungry Im dad
120|When phone ringing Dad says If its for me dont answer it.
121|Did you hear the rumor about butter? Well, Im not going to spread it!
122|Want to hear a joke about construction? Im still working on it.
123|Why do you never see elephants hiding in trees? Because theyre so good at it.
124|Did you hear about the Italian chef who died? He pasta way!
125|What does a nosey pepper do? It gets jalapeno business!
126|Dad, can you put my shoes on? No, I dont think theyll fit me.
127|Why did the invisible man turn down the job offer? He couldnt see himself doing it!
128|Whats brown and sticky? A stick.
129|What did the mountain climber name his son? Cliff.
130|Im not indecisive. Unless you want me to be.
131|Milk is also the fastest liquid on earth – its pasteurized before you even see it
132|Where did the one-legged waitress work? IHOP!
133|What happened when the two antennas got married? Well, the ceremony was kinda boring, but the reception was great!
134|I went to a seafood disco last week… and pulled a mussel.
135|Do you know where you can get chicken broth in bulk? The stock market.
136|What do you call a fish with no eyes? A fshhhh.
137|My cat was just sick on the carpet, I dont think its feline well.
138|A termite walks into a bar and asks Is the bar tender here?
139|I gave all my dead batteries away today… Free of charge.
140|I needed a password eight characters long so I picked Snow White and the Seven Dwarfs.
141|A Sandwich walks into a bar, the bartender says Sorry, we dont serve food here
142|Im on a whiskey diet. Ive lost three days already.
143|Why did the Clydesdale give the pony a glass of water? Because he was a little horse!
144|What do you call a cow with no legs? Ground beef.
145|Why did the girl smear peanut butter on the road? To go with the traffic jam.
146|How do you make a hankie dance? Put a little boogie in it.
147|Im on a seafood diet… I see food and I eat it.
